sampleID	measurement1	measurement2	measurement3
8-D52PM	42247733500.07445	120773900446.96976	30921034905.722324
8-D53	19177377549.58559	35123286171.02482	17067926733.385824
8-D54	13360597013.165504	31830932273.45706	21852649608.235046
8-D57AM	69839661692.43083	117907156708.68295	152093549406.74774
8-D57PM	25377493858.11298	28353930830.823643	40991058938.382835
8-D58AM	36771022576.8608	46828406813.73252	41969841320.665726
8-D58PM	115331855718.3004	65110381614.145615	152757546877.43414
8-D59AM	86404583812.83067	75331883526.36688	104298304993.12946
8-D59PM	109028332752.39876	61628688858.52577	113470641858.23695
8-D6	33342670053.82505	49075680818.43098	71438024268.22495
8-D60AM	37904888259.68494	64343474826.122574	53302371514.671265
8-D60PM	144032649262.6791	163947257279.9531	71523669187.93755
8-D61	80764354790.4922	58480758692.87923	35262285042.06456
8-D62	71188028020.741	34973897499.300095	62152967010.5452
8-D63	24931459935.18516	51934617487.26663	59225563495.69261
8-D64AM	39199863671.201035	19117036050.28204	43320360925.89266
8-D64PM	70260896517.34093	137247493566.7203	155329482720.77716
8-D7	50021451878.2537	83056844696.9857	49135016051.16953
8-D8	95918033044.46892	204097700229.2666	57442604871.646286
8-D9	46438410405.457	60341607449.3141	97551920419.66092
9-D10	49712731303.41693	44487103665.386734	93677701388.94266
9-D11	113883854922.35915	165061713118.07935	172115819542.88602
9-D14	34610659773.19139	68176888383.521774	57735749474.7951
9-D16	190138405945.528	380738445081.4605	384925571597.9176
9-D18	58489319511.176384	33534528846.183212	51178019434.843895
9-D1AM	10219591800.630262	17298510993.80043	15135030124.4427
9-D1PM	30688485795.35925	75944511633.95216	67745485625.7993
9-D21AM	20259352852.794586	49512832532.53725	61927375164.26512
9-D21PM	36600111750.13019	41683959136.72855	83863119329.91309
9-D22AM	142925558600.9331	115312626161.36385	190845683342.8289
9-D22PM	135497369385.97693	197380273642.13602	236880701033.76846
9-D23AM	85655636034.03227	140827099845.51132	122218590991.03355
9-D23PM	55596892659.88456	43099394998.41805	65319829110.15181
9-D24	312925015886.26245	333915062336.2971	415706413625.7416
9-D25	139077192446.47067	244608967324.43774	161727470015.44016
9-D28AM	90053067330.82362	178896137959.1424	174377172811.09778
9-D28PM	535225254406.9572	260644391139.5563	637507646630.8115
9-D29AM	290041789141.00525	491864610125.8333	495258045296.0531
9-D29PM	395362169165.0419	133900824496.76552	311652522456.7345
9-D2AM	91510931387.80513	84931839697.7083	137930620343.7856
9-D2PM	106107139752.50247	140716599955.81827	150574862186.67496
9-D30AM	108921202465.68953	224113332808.5777	300428658825.8318
9-D30PM	552931724965.8204	749672357025.2657	889904898583.7555
9-D31AM	285466584544.59937	483258808074.1372	477242305950.1186
9-D31PM	403045690768.7133	376389311988.04346	558644049077.5985
9-D32	284133165348.352	263516642988.0862	93215746101.29956
9-D33	2423656824.298385	3265885035.799081	3454461016.3599186
9-D35AM	184617090212.553	238247720917.93066	257038697058.90445
9-D35PM	335733985878.2122	268954025762.8505	273822063132.42844
9-D36AM	57195845593.12377	52098113607.041336	77019924373.80455
9-D36PM	55139414234.59222	56861408156.99728	67346171356.508766
9-D37AM	57766274044.12654	89741797788.07335	91742354939.63448
9-D37PM	148114604313.41385	49292610081.525764	142628048734.39645
9-D38	47962804976.53297	65648298109.24355	78066231662.3748
9-D39	100136144037.40176	67961133717.26083	102204704880.76704
9-D3AM	23402444636.65026	55408687039.709984	4816661.298286995
9-D3PM	29458061286.534332	73134183764.79709	40253319006.79328
9-D42AM	88498792687.73439	44950938141.74945	85958279116.68446
9-D42PM	19426491104.24449	41398805389.51699	36711865368.976
9-D43AM	29661145688.98545	31134115726.097218	58493770123.63847
9-D43PM	23288214495.184933	30586446536.874493	20798124393.337128
9-D44AM	14054047370.360064	25220714278.95944	42609024465.33494
9-D44PM	37537364961.56044	65040376925.83445	40292213014.97001
9-D45AM	10283087771.592005	13256480521.680971	18179893823.881958
9-D45PM	20368268664.948875	33629914057.640106	38972265346.33865
9-D46	15126982476.649038	45020119589.50447	11823193177.625484
9-D47	29466032112.18554	41644976282.07358	46492955874.93719
9-D4AM	149413905920.4737	302446539338.0063	311674936139.795
9-D4PM	18012148690.081562	30228639546.848793	34388131949.57263
9-D5	30734333983.709343	33549094666.63965	38046880203.1122
9-D50AM	11566747466.713999	24702901792.285187	37372246439.554924
9-D50PM	109595747932.97667	55216647820.13542	109825076714.02383
9-D51AM	26906727149.69017	27640086843.852337	37902643718.38274
9-D51PM	30761180414.233044	17545391326.468758	32112390139.509094
9-D52AM	27485086898.89143	66390556294.632385	92554718051.7722
9-D52PM	25831809925.91016	48763815025.97342	45343535321.867256
